"_id","updated_at","environment","time","layername","mission","product"
"ObjectID(""6940235a520d96b5a7873c98"")",2025-12-15 16:03:25.386,OPE,2025-12-14 17:54:00,copernicus:daily_sentinel3ab_slstr_l2p_sst_fullres,copernicus,daily_sentinel3ab_slstr_l2p_sst_fullres
"ObjectID(""6940235a520d96b5a7873c99"")",2025-12-15 16:03:25.386,OPE,2025-12-14 18:57:00,copernicus:daily_sentinel3ab_slstr_l2p_sst_fullres,copernicus,daily_sentinel3ab_slstr_l2p_sst_fullres
"ObjectID(""6940235a520d96b5a7873c9a"")",2025-12-15 16:03:25.386,OPE,2025-12-14 19:35:00,copernicus:daily_sentinel3ab_slstr_l2p_sst_fullres,copernicus,daily_sentinel3ab_slstr_l2p_sst_fullres
"ObjectID(""6940235a520d96b5a7873c9b"")",2025-12-15 16:03:25.386,OPE,2025-12-14 20:38:00,copernicus:daily_sentinel3ab_slstr_l2p_sst_fullres,copernicus,daily_sentinel3ab_slstr_l2p_sst_fullres
"ObjectID(""6940235a520d96b5a7873c9c"")",2025-12-15 16:03:25.386,OPE,2025-12-14 21:16:00,copernicus:daily_sentinel3ab_slstr_l2p_sst_fullres,copernicus,daily_sentinel3ab_slstr_l2p_sst_fullres
"ObjectID(""6940235a520d96b5a7873c9d"")",2025-12-15 16:03:25.386,OPE,2025-12-14 22:19:00,copernicus:daily_sentinel3ab_slstr_l2p_sst_fullres,copernicus,daily_sentinel3ab_slstr_l2p_sst_fullres
"ObjectID(""6940235a520d96b5a7873c9e"")",2025-12-15 16:03:25.386,OPE,2025-12-14 22:57:00,copernicus:daily_sentinel3ab_slstr_l2p_sst_fullres,copernicus,daily_sentinel3ab_slstr_l2p_sst_fullres
"ObjectID(""6940235a520d96b5a7873c9f"")",2025-12-15 16:03:25.386,OPE,2025-12-15 00:00:00,copernicus:daily_sentinel3ab_slstr_l2p_sst_fullres,copernicus,daily_sentinel3ab_slstr_l2p_sst_fullres
"ObjectID(""6940235a520d96b5a7873ca0"")",2025-12-15 16:03:25.386,OPE,2025-12-15 00:38:00,copernicus:daily_sentinel3ab_slstr_l2p_sst_fullres,copernicus,daily_sentinel3ab_slstr_l2p_sst_fullres
"ObjectID(""6940235a520d96b5a7873ca1"")",2025-12-15 16:03:25.386,OPE,2025-12-15 01:41:00,copernicus:daily_sentinel3ab_slstr_l2p_sst_fullres,copernicus,daily_sentinel3ab_slstr_l2p_sst_fullres
"ObjectID(""6940235a520d96b5a7873ca2"")",2025-12-15 16:03:25.386,OPE,2025-12-15 02:19:00,copernicus:daily_sentinel3ab_slstr_l2p_sst_fullres,copernicus,daily_sentinel3ab_slstr_l2p_sst_fullres
"ObjectID(""6940235a520d96b5a7873ca3"")",2025-12-15 16:03:25.386,OPE,2025-12-15 03:22:00,copernicus:daily_sentinel3ab_slstr_l2p_sst_fullres,copernicus,daily_sentinel3ab_slstr_l2p_sst_fullres
"ObjectID(""6940235a520d96b5a7873ca4"")",2025-12-15 16:03:25.386,OPE,2025-12-15 04:00:00,copernicus:daily_sentinel3ab_slstr_l2p_sst_fullres,copernicus,daily_sentinel3ab_slstr_l2p_sst_fullres
"ObjectID(""6940235a520d96b5a7873ca5"")",2025-12-15 16:03:25.386,OPE,2025-12-15 05:03:00,copernicus:daily_sentinel3ab_slstr_l2p_sst_fullres,copernicus,daily_sentinel3ab_slstr_l2p_sst_fullres
"ObjectID(""6940235a520d96b5a7873ca6"")",2025-12-15 16:03:25.386,OPE,2025-12-15 05:41:00,copernicus:daily_sentinel3ab_slstr_l2p_sst_fullres,copernicus,daily_sentinel3ab_slstr_l2p_sst_fullres
